mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1431736946105957,0.019197548217868177,0.007775688171386718,0.0008790678092698721,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9615384615384616,0.9607843137254902,0.9215686274509803,0.9607843137254902,0.9607843137254902,0.9530920060331824,0.01576439533086449,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2964982509613037,0.01503542187242342,0.020403575897216798,0.005640746325681346,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9607843137254902,0.9215686274509803,0.9607843137254902,0.9607843137254902,0.9569381598793363,0.019304416397211036,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7039677143096924,0.045205350544768035,0.03502688407897949,0.003692589449421126,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9215686274509803,0.9215686274509803,0.9607843137254902,0.9607843137254902,0.9490950226244343,0.023630232233224618,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.19374442100524902,0.020648238835506167,0.014909696578979493,0.003975915332075,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9615384615384616,0.9215686274509803,0.9215686274509803,0.9411764705882353,0.9607843137254902,0.9413273001508295,0.01770818717519059,30,0.9901960784313726,0.9902439024390244,0.9951219512195122,0.9902439024390244,0.9902439024390244,0.9912099473935916,0.001956089607830006
0.4570805072784424,0.0559635689238338,0.030507898330688475,0.011793806751133446,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9807692307692307,0.9215686274509803,0.9215686274509803,0.9607843137254902,0.9607843137254902,0.9490950226244343,0.023630232233224618,15,0.9950980392156863,0.9951219512195122,0.9951219512195122,0.9902439024390244,0.9951219512195122,0.9941415590626494,0.0019488503165997987
1.0923571109771728,0.11724211343351362,0.048084592819213866,0.00981711660214987,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9807692307692307,0.9215686274509803,0.9411764705882353,0.9607843137254902,0.9607843137254902,0.9530165912518853,0.02009998462480227,12,0.9950980392156863,0.9951219512195122,0.9902439024390244,0.9902439024390244,0.9951219512195122,0.9931659493065519,0.0023858572537367923
0.23440055847167968,0.026104648764406907,0.016023588180541993,0.007236032043477621,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9615384615384616,0.9215686274509803,0.9215686274509803,0.9411764705882353,0.9607843137254902,0.9413273001508295,0.01770818717519059,30,0.9754901960784313,0.9804878048780488,0.975609756097561,0.975609756097561,0.9853658536585366,0.9785126733620277,0.003920623697846333
0.46152524948120116,0.031820873442594697,0.02100820541381836,0.002458876668842658,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9807692307692307,0.9215686274509803,0.9215686274509803,0.9607843137254902,0.9607843137254902,0.9490950226244343,0.023630232233224618,15,0.9803921568627451,0.9804878048780488,0.9804878048780488,0.975609756097561,0.9804878048780488,0.9794930655188905,0.0019420080578801307
0.9295615673065185,0.13721210290761923,0.03985133171081543,0.015112149519335103,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9615384615384616,0.9215686274509803,0.9411764705882353,0.9411764705882353,0.9607843137254902,0.9452488687782805,0.014836600455333892,27,0.9754901960784313,0.9804878048780488,0.975609756097561,0.9707317073170731,0.9853658536585366,0.9775370636059302,0.004984252860118643
0.2736987590789795,0.03172055730074933,0.015850353240966796,0.003177353305810809,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9615384615384616,0.9411764705882353,0.9411764705882353,0.9803921568627451,0.9411764705882353,0.9530920060331824,0.01576439533086445,7,0.9754901960784313,0.9853658536585366,1.0,0.9853658536585366,0.9951219512195122,0.9882687709230034,0.008540885764139873
0.4416942119598389,0.06063970179940736,0.02413601875305176,0.009098816522461585,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9807692307692307,0.9411764705882353,0.9411764705882353,0.9803921568627451,0.9607843137254902,0.9608597285067872,0.01762254811191947,1,0.9901960784313726,0.9951219512195122,0.9951219512195122,0.9853658536585366,1.0,0.9931611669057867,0.004980314179331816
0.9193553924560547,0.16115029533431732,0.05047507286071777,0.026710681079318524,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9807692307692307,0.9411764705882353,0.9411764705882353,0.9803921568627451,0.9411764705882353,0.9569381598793363,0.01930441639721101,2,0.9901960784313726,0.9951219512195122,0.9951219512195122,0.9902439024390244,1.0,0.9941367766618843,0.0036606583558039013
0.19621191024780274,0.009325940985816997,0.012813425064086914,0.0015630831188567969,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9615384615384616,0.9215686274509803,0.9411764705882353,0.9803921568627451,0.9607843137254902,0.9530920060331824,0.020057496482508957,7,0.9754901960784313,0.9853658536585366,0.9902439024390244,0.9804878048780488,0.9804878048780488,0.982415112386418,0.005007600664570307
